FECHA_CORTE;ACP_CODI;ACP_NOMB;ACP_SULEG;ACP_UBPO;ACP_BALEC;ACP_FELEC;ACP_BALEM;ACP_FELEM;ACP_TIREC;ACP_FECAD;ACP_TIPRO;ACP_TITU;ACP_PAREG;ACP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9
20230906;ACP01;Chaparrí;34412;LAMBAYEQUE y CAJAMARCA;R.M. N° 1324-2001-AG;20011219;R.M. Nº 153-2011-MINAM;20110719;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Muchick Santa Catalina de Chongoyape; ;555555630;060418;CAJAMARCA;CHOTA;TOCMOCHE;060411;CAJAMARCA;CHOTA;LLAMA;060412;CAJAMARCA;CHOTA;MIRACOSTA;060416;CAJAMARCA;CHOTA;SAN JUAN DE LICUPIS;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;140110;LAMBAYEQUE;CHICLAYO;OYOTUN;140119;LAMBAYEQUE;CHICLAYO;PUCALA;140205;LAMBAYEQUE;FERREÑAFE;PITIPO;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE
20230906;ACP02;Bosque Natural El Cañoncillo;1310.9;LA LIBERTAD;R.M. N° 0804-2004-AG;20040916; ;;Perpetuo;Perpetuo;Empresa;Cooperativa Agraria  de Usuarios TECAPA; ;555555629;130705;LA LIBERTAD;PACASMAYO;SAN JOSE;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP03;Pacllón;12896.56;ANCASH;R.M. N° 908-2005-AG;20051213; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Pacllón; ;555555627;20511;ANCASH;BOLOGNESI;LA PRIMAVERA;20512;ANCASH;BOLOGNESI;MANGAS;20513;ANCASH;BOLOGNESI;PACLLON;20501;ANCASH;BOLOGNESI;CHIQUIAN;20509;ANCASH;BOLOGNESI;HUASTA;20513;ANCASH;BOLOGNESI;PACLLON;;;;;;;;;;;;
20230906;ACP04;Huayllapa;21106.57;LIMA;R.M. N° 909-2005-AG;20051213;R.M. Nº 202-2007-AG;20070306;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Huayllapa; ;555555628;150302;LIMA;CAJATAMBO;COPA;150301;LIMA;CAJATAMBO;CAJATAMBO;150302;LIMA;CAJATAMBO;COPA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP06;Huiquilla;1140.54;AMAZONAS;R.M. N° 1458-2006-AG;20061130; ;;Perpetuo;Perpetuo;Privado;Familia La Torre Montoya; ;555555631;10507;AMAZONAS;LUYA;LONGUITA;10522;AMAZONAS;LUYA;TINGO;10504;AMAZONAS;LUYA;COLCAMAR;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP07;San Antonio;357.39;AMAZONAS;R.M. N° 227-2007-AG;20070309; ;;20;20270309;Privado;Familia Muñóz Saavedra; ;555555634;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP09;Jirishanca;12172.91;HUANUCO;R.M. N° 346-2007-AG;20070424; ;;30;20370424;Comunidad Campesina;Comunidad Campesina Queropalca; ;555555635;101002;HUANUCO;LAURICOCHA;BAÑOS;101004;HUANUCO;LAURICOCHA;QUEROPALCA;101001;HUANUCO;LAURICOCHA;JESUS;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP10;Abra Patricia - Alto Nieva;1415.74;AMAZONAS;R.M. N° 621-2007-AG;20071016; ;;Perpetuo;Perpetuo;Organización No Gubernamental;ONG ECOAN; ;555555639;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP13;Abra Málaga Thastayoc - Royal Cinclodes;70.64;CUSCO;R.M. N° 004-2009-MINAM;20090116; ;;Perpetuo;Perpetuo;Asociación;Asociación Agraria Thastayoc - Habra Málaga; ;555555641;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP14;Hatun Queuña-Quishuarani Ccollana;234.88;CUSCO;R.M. N° 005-2009-MINAM;20090116; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Quishuarani Ccollana; ;555555638;80404;CUSCO;CALCA;LARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP20;Tambo Ilusión;14.29;SAN MARTIN;R.M. N° 075-2010-MINAM;20100506;R.M. Nº 082-2021-MINAM;20210520;Perpetuo;Perpetuo;Privado;Armando Daniel Rodríguez Tynan y Dorís Rosa Valdivia Vargas;P.E. Nº 11046461;555555646;220909;SAN MARTIN;SAN MARTIN;LA BANDA DE SHILCAYO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP21;Tilacancha;6800.48;AMAZONAS;R.M. N° 118-2010-MINAM;20100706; ;;20;20300706;Comunidad Campesina;Comunidad Campesina Levanto y Comunidad Campesina San Isidro del Mayno; ;555555647;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;;;;;;;;;;;;;;;;;;;;
20230906;ACP23;Refugio K'erenda Homet;35.4;MADRE DE DIOS;R.M. N° 157-2010-MINAM;20100906; ;;Perpetuo;Perpetuo;Privado;Kérenda Homet Zambrano Herrera; ;555555651;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP26;Bosque Seco Amotape;123.3;TUMBES;R.M. N° 242-2010-MINAM;20101201; ;;20;20301201;Privado;Javier Chang Lay y Teresa Sylvia Fu Huby de Chang; ;555555652;240201;TUMBES;CONTRALMIRANTE VILLAR;ZORRITOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP32;Hierba Buena - Allpayacu;2282.12;AMAZONAS;R.M. N° 123-2011-MINAM;20110607; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Corosha; ;555555660;10302;AMAZONAS;BONGARA;CHISQUILLA;10304;AMAZONAS;BONGARA;COROSHA;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP33;San Marcos;985.99;HUANUCO;R.M. N° 133-2011-MINAM;20110616; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de San Marcos; ;555555663;100804;HUANUCO;PACHITEA;UMARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP34;Copallín;11549.21;AMAZONAS;R.M. N° 140-2011-MINAM;20110624; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Copallín; ;555555664;10702;AMAZONAS;UTCUBAMBA;CAJARURO;10203;AMAZONAS;BAGUA;COPALLIN;10202;AMAZONAS;BAGUA;ARAMANGO;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP37;Lomas de Atiquipa;19028.02;AREQUIPA;R.M. N° 165-2011-MINAM;20110726;R.M. Nº 018-2022-MINAM;20220121;10;20310726;Comunidad Campesina;Comunidad Campesina de Yauca, Jaqui y Atiquipa;P.E. Nº 04002419;555555668;40313;AREQUIPA;CARAVELI;YAUCA;40304;AREQUIPA;CARAVELI;ATIQUIPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP38;Huaylla Belén - Colcamar;6338.42;AMAZONAS;R.M. N° 166-2011-MINAM;20110726; ;;30;20410726;Comunidad Campesina;Comunidad Campesina de Colcamar; ;555555669;10507;AMAZONAS;LUYA;LONGUITA;10522;AMAZONAS;LUYA;TINGO;10504;AMAZONAS;LUYA;COLCAMAR;10513;AMAZONAS;LUYA;OCUMAL;10506;AMAZONAS;LUYA;INGUILPATA;;;;;;;;;;;;;;;;
20230906;ACP39;La Huerta del Chaparrí;100;LAMBAYEQUE;R.M. N° 266-2011-MINAM;20111111; ;;Perpetuo;Perpetuo;Privado;Sr. Heinz Augusto Ricardo E. Plenge Sánchez y la Sra. Ana María Pardo Díaz de Plenge; ;555555671;140102;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP40;Pillco Grande - Bosque de Pumataki;271.62;CUSCO;R.M. N° 299-2011-MINAM;20111222; ;;20;20311222;Comunidad Campesina;Comunidad Campesina de Pillco Grande Quipo; ;555555672;81103;CUSCO;PAUCARTAMBO;CHALLABAMBA;81106;CUSCO;PAUCARTAMBO;KOSÑIPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP41;Panguana;135.6;HUANUCO;R.M. N° 300-2011-MINAM;20111222; ;;Perpetuo;Perpetuo;Privado;Juliane Margarete Beate Koepcke Von Mikulicz-Radecki de Diller y del señor Erich Helmut Diller; ;555555673;100905;HUANUCO;PUERTO INCA;YUYAPICHIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP42;Japu - Bosque Ukumari Llaqta;18695.75;CUSCO;R.M. N° 301-2011-MINAM;20111222; ;;30;20411222;Comunidad Campesina;Comunidad Campesina de Japu; ;555555674;81203;CUSCO;QUISPICANCHI;CAMANTI;81106;CUSCO;PAUCARTAMBO;KOSÑIPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP50;Checca;560;PUNO;R.M. N° 147-2012-MINAM;20120611;R.M. Nº 119-2022-MINAM;20220514;Perpetuo;Perpetuo;Privado;Marleny Martha Arias Chávez; ;555555681;210504;PUNO;EL COLLAO;SANTA ROSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP53;Bosque de Palmeras de la Comunidad Campesina Taulia Molinopampa;10920.84;AMAZONAS;R.M. N° 252-2012-MINAM;20120920; ;;10;20220920;Comunidad Campesina;Comunidad Campesina de Taulia Molinopampa; ;555555684;10607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP54;Gotas de Agua II;7.5;CAJAMARCA;R.M. N° 268-2012-MINAM;20120928;R.M. N° 241-2022-MINAM;20221115;10;20321006;Privado;Luciano Troyes Rivera y Marleni Domínguez Sanchez;P.E. N° 02085323;555555685;60801;CAJAMARCA;JAEN;JAEN;60802;CAJAMARCA;JAEN;BELLAVISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP56;Los Chilchos;46000;AMAZONAS;R.M. N° 320-2012-MINAM;20121121; ;;15;20271121;Comunidad Campesina;Luis Omer Ullillen Portal; ;555555687;10110;AMAZONAS;CHACHAPOYAS;LEYMEBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP57;Camino Verde Baltimore;21.07;MADRE DE DIOS;R.M. N° 346-2012-MINAM;20121228; ;;15;20271228;Privado;Robin Gwilym Van Loon; ;555629216;170102;MADRE DE DIOS;TAMBOPATA;INAMBARI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP58;Larga Vista I;22.32;SAN MARTIN;R.M. N° 020-2013-MINAM;20130121; ;;10;20230121;Privado;Teofisto Delgado Ríos; ;555623640;220603;SAN MARTIN;MARISCAL CACERES;HUICUNGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP59;Larga Vista II;22.5;SAN MARTIN;R.M. N° 021-2013-MINAM;20130121; ;;10;20230121;Privado;Teofisto Delgado Ríos y Sheila Solano Reátegui; ;555555689;220603;SAN MARTIN;MARISCAL CACERES;HUICUNGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP60;Pucunucho;23.5;SAN MARTIN;R.M. N° 040-2013-MINAM;20130215; ;;10;20230215;Privado;Rosa Karina Pinasco Vela; ;555555690;220601;SAN MARTIN;MARISCAL CACERES;JUANJUI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP61;Bosque Berlín;59;AMAZONAS;R.M. N° 073-2013-MINAM;20130304; ;;10;20230304;Privado;José Ricardo Rimarachin Altamirano; ;555555691;10701;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP62;Bosques de Neblina y Páramos de Samanga;2888.03;PIURA;R.M. N° 117-2013-MINAM;20130418; ;;10;20230418;Comunidad Campesina;Comunidad Campesina Samanga; ;555577548;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP64;Selva Virgen;24.52;LORETO;R.M. N° 203-2013-MINAM;20130711; ;;20;20330711;Privado;Julia Manuela Alegría Ramirez y Jesús Efraín Gálvez Contreras; ;555577549;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP65;La Pampa del Burro;2776.96;AMAZONAS;R.M. N° 208-2013-MINAM;20130716; ;;10;20230716;Comunidad Campesina;Comunidad Campesina de Yambrasbamba; ;555577550;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP67;Las Panguanas 3;6.87;LORETO;R.M. N° 385-2013-MINAM;20131209; ;;20;20331209;Privado;Nanci Adela Dantas Sibina de Tanner; ;555577552;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP68;Las Panguanas 4;5.12;LORETO;R.M. N° 386-2013-MINAM;20131209; ;;20;20331209;Privado;Nanci Adela Dantas Sibina de Tanner; ;555623643;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP69;Las Panguanas 2;0.62;LORETO;R.M. N° 396-2013-MINAM;20131227; ;;20;20331227;Privado;Nanci Adela Dantas Sibina de Tanner; ;555623644;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP70;Paraíso Natural Iwirati;100;LORETO;R.M. N° 010-2014-MINAM;20140114; ;;20;20340114;Comunidad Campesina;Comunidad Nativa Puerto Prado; ;555577551;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP71;Amazon Shelter;9.59;MADRE DE DIOS;R.M. N° 105-2014-MINAM;20140414; ;;10;20240414;Privado;Magali Teresa Ines Salinas Bielich; ;555623645;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP72;Espíritu del Monte;40;MADRE DE DIOS;R.M. N° 146-2014-MINAM;20140526; ;;10;20240526;Privado;Martin Hans Schmidt Hennig; ;555623646;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP73;Las Panguanas 1;1.91;LORETO;R.M. N° 183-2014-MINAM;20140623; ;;20;20340623;Privado;Nanci Adela Dantas Sibina de Tanner; ;555623647;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP74;Kakiri Uka;12.14;LORETO;R.M. N° 234-2014-MINAM;20140725; ;;20;20340725;Privado;Walter Armando Torres Reátegui; ;555623648;160301;LORETO;LORETO;NAUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP75;Cavernas de Leo;12.5;AMAZONAS;R.M. N° 301-2014-MINAM;20140915; ;;20;20340915;Privado;Leuvigildo lopez Gongora y Lidia del Aguila de Lopez; ;555623649;10609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP76;Ilish Pichacoto;329.26;JUNIN;R.M. N° 365-2014-MINAM;20141031; ;;10;20241031;Comunidad Campesina;Comunidad Campesina de Saño; ;555623650;120132;JUNIN;HUANCAYO;SAÑO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP77;Lagunas y Páramos de Andinos de San José de Tapal;908;PIURA;R.M. N° 071-2015-MINAM;20150331; ;;10;20250331;Comunidad Campesina;Comunidad Campesina San José de Tapal; ;555623651;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP78;Llamapampa - La Jalca;26216.1;AMAZONAS;R.M. N° 089-2015-MINAM;20150417;R.M. N° 056-2021-MINAM;20210319;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina La Jalca;P.E. Nº 02013677;555623652;10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;10605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;10603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;;;;;;;;
20230906;ACP79;Wacan Numi;12.8;LORETO;R.M. N° 096-2015-MINAM;20150424; ;;50;20650424;Privado;Silvia Irene Santillán Meza; ;555623653;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP80;Bosque de Nogal y Bosque de Puentecilla;449.26;PIURA;R.M. N° 134-2015-MINAM;20150526; ;;10;20250526;Comunidad Campesina;Comunidad Campesina de Cujaca; ;555623654;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP81;Bosques de Cuyas Cuchayo;102.65;PIURA;R.M. N° 153-2015-MINAM;20150608; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina de Cuyas Cuchayo; ;555623655;200201;PIURA;AYABACA;AYABACA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP82;Ronsoco Cocha;363.68;SAN MARTIN;R.M. N° 154-2015-MINAM;20150608; ;;10;20250608;Comunidad Campesina;Comunidad Campesina Paz y Esperanza; ;555623656;220101;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP83;Siete Cataratas - Qanchis Paccha;1008.51;CUSCO;R.M. N° 214-2015-MINAM;20150821; ;;10;20250821;Comunidad Campesina;Comunidad Campesina Quishuarani Collana; ;555623657;80404;CUSCO;CALCA;LARES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP84;San Luis;1144;CUSCO;R.M. N° 335-2015-MINAM;20151201; ;;10;20251201;Privado;Grimaldo Oswaldo Toledo Zamora; ;555623674;80903;CUSCO;LA CONVENCION;HUAYOPATA;80905;CUSCO;LA CONVENCION;OCOBAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP85;El Cortijo;22.35;LORETO;R.M. N° 358-2015-MINAM;20151230; ;;20;20351230;Privado;Harris Renee del Aguila Panduro y Sonia Maura Rojas de del Aguila; ;555623658;160601;LORETO;UCAYALI;CONTAMANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP86;San Pedro de Chuquibamba;19560;AMAZONAS;R.M. N° 359-2015-MINAM;20151230; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina San Pedro de Chuquibamba; ;555623659;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;10103;AMAZONAS;CHACHAPOYAS;BALSAS;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP87;Botafogo;16.87;MADRE DE DIOS;R.M. N° 012-2016-MINAM;20160122; ;;10;20260122;Privado;Ronal Felipe Pereyra Saldivar; ;555623660;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP88;Aurora;38.96;LORETO;R.M. N° 024-2016-MINAM;20160209; ;;20;20360209;Privado;Jorge Leonidas López Tello y Albertina Silva Mondoñedo de López; ;555623661;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP89;Mangamanguilla de la Asociación Agraria Manga Manga de Salitral;1738.23;PIURA;R.M. N° 047-2016-MINAM;20160302; ;;Perpetuo;Perpetuo;Asociación;Asociación Agraria Manga Manga de Salitral; ;555623662;200406;PIURA;MORROPON;SALITRAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP90;Los Bosques de Dotor, Hualtacal, Pueblo Libre, La Jardina y Chorro Blanco;9944.73;PIURA;R.M. N° 084-2016-MINAM;20160404; ;;Perpetuo;Perpetuo;Comunidad Campesina;C.C Andanjo. PE 11052166; ;555623663;200302;PIURA;HUANCABAMBA;CANCHAQUE;200302;PIURA;HUANCABAMBA;CANCHAQUE;200407;PIURA;MORROPON;SAN JUAN DE BIGOTE;200406;PIURA;MORROPON;SALITRAL;;;;;;;;;;;;;;;;;;;;
20230906;ACP91;Bosque Seco de la Comunidad Campesina Cesar Vallejo de Palo Blanco;200;PIURA;R.M. N° 106-2016-MINAM;20160427; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Cesar Vallejo de Palo Blanco; ;555623665;200401;PIURA;MORROPON;CHULUCANAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP92;Bosques Montanos y Páramos Chicuate - Chinguelas;27107.45;PIURA;R.M. N° 138-2016-MINAM;20160604; ;;Perpetuo;Perpetuo;Comunidad Campesina;Comunidad Campesina Segunda y Cajas; ;555623666;200301;PIURA;HUANCABAMBA;HUANCABAMBA;200201;PIURA;AYABACA;AYABACA;200206;PIURA;AYABACA;PACAIPAMPA;200303;PIURA;HUANCABAMBA;EL CARMEN DE LA FRONTERA;;;;;;;;;;;;;;;;;;;;
20230906;ACP93;Palmonte;14.31;SAN MARTIN;R.M. N° 157-2016-MINAM;20160621; ;;20;20360621;Privado;Oscar Enrique Butron Medina y Lucila Yamile Eslava Aponte; ;555623667;220904;SAN MARTIN;SAN MARTIN;CHAZUTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP94;Sabalillo;22.69;LORETO;R.M. N° 158-2016-MINAM;20160621; ;;20;20360621;Privado;Jorge Leónidas López Tello y María Albertina Silva Mondoñedo; ;555623668;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP95;Santuario de La Verónica;16.71;CUSCO;R.M. N° 177-2016-MINAM;20160708; ;;20;20360708;Privado;Teófilo Bellota Atayupanqui y  Martina Paredes de Bellota; ;555623669;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP95;Santuario de La Verónica;4.09;CUSCO;R.M. N° 177-2016-MINAM;20160708; ;;20;20360708;Privado;Teófilo Bellota Atayupanqui y  Martina Paredes de Bellota; ;555623669;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP96;Fundo Rosita;244.93;LORETO;R.M. N° 179-2016-MINAM;20160713; ;;10;20260713;Privado;Weyder Murrieta Santillán; ;555623670;160113;LORETO;MAYNAS;SAN JUAN BAUTISTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP97;Machusaniaca II;12.98;CUSCO;R.M. N° 185-2016-MINAM;20160721; ;;20;20360721;Privado;Venecio Cutipa Quispe y Lucila Huanca Chillihuani; ;555623671;81203;CUSCO;QUISPICANCHI;CAMANTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;ACP98;Lomas del Cerro Campana;4564.98;LA LIBERTAD;R.M. N° 192-2016-MINAM;20160726; ;;10;20260726;Universidad;Universidad Nacional de Trujillo; ;555623672;130104;LA LIBERTAD;TRUJILLO;HUANCHACO;130207;LA LIBERTAD;ASCOPE;SANTIAGO DE CAO;130202;LA LIBERTAD;ASCOPE;CHICAMA;;;;;;;;;;;;;;;;;;;;;;;;
